Quarter ID,Quarter,State ID,State,Investment
20013,2001-Q3,5,Coahuila de Zaragoza,368.4080352783203
20014,2001-Q4,5,Coahuila de Zaragoza,377.2659969329834
20021,2002-Q1,5,Coahuila de Zaragoza,88.61179733276367
20022,2002-Q2,5,Coahuila de Zaragoza,147.73937225341797
20023,2002-Q3,5,Coahuila de Zaragoza,310.4179811477661
20024,2002-Q4,5,Coahuila de Zaragoza,339.03080785274506
20031,2003-Q1,5,Coahuila de Zaragoza,172.7982940673828
20032,2003-Q2,5,Coahuila de Zaragoza,284.2836637496948
20033,2003-Q3,5,Coahuila de Zaragoza,158.13732528686523
20034,2003-Q4,5,Coahuila de Zaragoza,208.8380257487297
20041,2004-Q1,5,Coahuila de Zaragoza,257.76853370666504
20042,2004-Q2,5,Coahuila de Zaragoza,147.81242179870605
20043,2004-Q3,5,Coahuila de Zaragoza,202.69978213310242
20044,2004-Q4,5,Coahuila de Zaragoza,233.24955248832703
20051,2005-Q1,5,Coahuila de Zaragoza,159.1225128173828
20052,2005-Q2,5,Coahuila de Zaragoza,264.86595916748047
20053,2005-Q3,5,Coahuila de Zaragoza,152.11979913711548
20054,2005-Q4,5,Coahuila de Zaragoza,66.04373979568481
20061,2006-Q1,5,Coahuila de Zaragoza,177.52775955200195
20062,2006-Q2,5,Coahuila de Zaragoza,174.8900375366211
20063,2006-Q3,5,Coahuila de Zaragoza,88.09093236923218
20064,2006-Q4,5,Coahuila de Zaragoza,167.76873636245728
20071,2007-Q1,5,Coahuila de Zaragoza,262.6565685272217
20072,2007-Q2,5,Coahuila de Zaragoza,87.87828254699707
20073,2007-Q3,5,Coahuila de Zaragoza,187.1421093940735
20074,2007-Q4,5,Coahuila de Zaragoza,128.61334586143494
20081,2008-Q1,5,Coahuila de Zaragoza,153.50655126571655
20082,2008-Q2,5,Coahuila de Zaragoza,162.04500579833984
20083,2008-Q3,5,Coahuila de Zaragoza,85.97594690322876
20084,2008-Q4,5,Coahuila de Zaragoza,181.55553126335144
20091,2009-Q1,5,Coahuila de Zaragoza,164.04476356506348
20092,2009-Q2,5,Coahuila de Zaragoza,93.21163177490234
20093,2009-Q3,5,Coahuila de Zaragoza,35.96473550796509
20094,2009-Q4,5,Coahuila de Zaragoza,87.98916816711426
20101,2010-Q1,5,Coahuila de Zaragoza,176.17149353027344
20102,2010-Q2,5,Coahuila de Zaragoza,187.18314361572266
20103,2010-Q3,5,Coahuila de Zaragoza,177.88488388061523
20104,2010-Q4,5,Coahuila de Zaragoza,209.96169662475586
20111,2011-Q1,5,Coahuila de Zaragoza,114.86336994171143
20112,2011-Q2,5,Coahuila de Zaragoza,217.45036602020264
20113,2011-Q3,5,Coahuila de Zaragoza,96.77144241333008
20114,2011-Q4,5,Coahuila de Zaragoza,218.05634689331055
20121,2012-Q1,5,Coahuila de Zaragoza,149.7485523223877
20122,2012-Q2,5,Coahuila de Zaragoza,215.3795280456543
20123,2012-Q3,5,Coahuila de Zaragoza,100.12077522277832
20124,2012-Q4,5,Coahuila de Zaragoza,74.1178069114685
20131,2013-Q1,5,Coahuila de Zaragoza,248.47702598571777
20132,2013-Q2,5,Coahuila de Zaragoza,1161.6710357666016
20133,2013-Q3,5,Coahuila de Zaragoza,-35.32964677363634
20134,2013-Q4,5,Coahuila de Zaragoza,429.76050567626953
20141,2014-Q1,5,Coahuila de Zaragoza,291.5959405899048
20142,2014-Q2,5,Coahuila de Zaragoza,977.5207443237305
20143,2014-Q3,5,Coahuila de Zaragoza,25.885406494140625
20144,2014-Q4,5,Coahuila de Zaragoza,330.45969676971436
20151,2015-Q1,5,Coahuila de Zaragoza,505.43896484375
20152,2015-Q2,5,Coahuila de Zaragoza,173.09783554077148
20153,2015-Q3,5,Coahuila de Zaragoza,448.43181800842285
20154,2015-Q4,5,Coahuila de Zaragoza,240.25570440292358
20161,2016-Q1,5,Coahuila de Zaragoza,189.9655303955078
20162,2016-Q2,5,Coahuila de Zaragoza,-55.82124328613281
20163,2016-Q3,5,Coahuila de Zaragoza,138.9934892654419
20164,2016-Q4,5,Coahuila de Zaragoza,936.446662902832
20171,2017-Q1,5,Coahuila de Zaragoza,505.8609161376953
20172,2017-Q2,5,Coahuila de Zaragoza,545.2235374450684
20173,2017-Q3,5,Coahuila de Zaragoza,453.2777290344238
20174,2017-Q4,5,Coahuila de Zaragoza,1168.1818685531616
20181,2018-Q1,5,Coahuila de Zaragoza,647.629804611206
20182,2018-Q2,5,Coahuila de Zaragoza,922.9128265380859
20183,2018-Q3,5,Coahuila de Zaragoza,1010.5062484741211
20184,2018-Q4,5,Coahuila de Zaragoza,709.1427993774414
20191,2019-Q1,5,Coahuila de Zaragoza,588.4772872924805
20192,2019-Q2,5,Coahuila de Zaragoza,248.97762489318848
20193,2019-Q3,5,Coahuila de Zaragoza,280.26184844970703
20194,2019-Q4,5,Coahuila de Zaragoza,374.39180755615234
20201,2020-Q1,5,Coahuila de Zaragoza,392.0692672729492
